,Year,Movie,Review
0,2007,There Will Be Blood,https://www.theguardian.com/film/2019/sep/13/best-film-21st-century-there-will-be-blood-paul-thomas-anderson-daniel-day-lewis-oil
1,2013,12 Years a Slave,https://www.theguardian.com/film/2014/jan/09/12-years-a-slave-review
2,2014,Boyhood,https://www.theguardian.com/film/2014/jul/10/boyhood-review-richard-linklater-film
3,2013,Under the Skin,https://www.theguardian.com/film/2014/mar/13/under-the-skin-scarlett-johansson-peter-bradshaw
4,2000,In the Mood for Love,https://www.theguardian.com/film/2000/oct/27/1
5,2005,Hidden,https://www.theguardian.com/culture/2006/jan/27/2
6,2008,"Synecdoche, New York",https://www.theguardian.com/film/2009/may/15/synecdoche-new-york
7,2016,Moonlight,https://www.theguardian.com/film/2017/feb/16/moonlight-review-masculinity-naomie-harris
8,2017,Zama,https://www.theguardian.com/film/2017/aug/31/zama-review-lucrecia-martel-emerges-from-the-wilderness-with-a-strange-sensual-wonder
9,2004,Team America: World Police,https://www.theguardian.com/film/filmblog/2009/dec/29/best-films-noughties-team-america
10,2001,Mulholland Drive,https://www.theguardian.com/film/2017/apr/14/mulholland-drive-review-david-lynch
11,2015,Son of Saul,https://www.theguardian.com/film/2016/apr/28/son-of-saul-review-auschwitz-holocaust
12,2002,Far From Heaven,https://www.theguardian.com/culture/2003/mar/07/artsfeatures2
13,2009,White Material,https://www.theguardian.com/film/2010/jul/01/white-material-film-review
14,2018,Shoplifters,https://www.theguardian.com/film/2018/nov/21/shoplifters-review-hirokazu-kore-eda
15,2012,The Act of Killing,https://www.theguardian.com/film/2012/sep/14/act-of-killing-review
16,2013,The Great Beauty,https://www.theguardian.com/film/2013/sep/05/le-grande-bellezza-great-beauty-review
17,2009,A Serious Man,https://www.theguardian.com/film/2009/nov/19/a-serious-man-coen-brothers
18,2012,Lincoln,https://www.theguardian.com/film/2013/jan/27/lincoln-spielberg-day-lewis-review
19,2018,Roma,https://www.theguardian.com/film/2018/nov/29/roma-review-alfonso-cuaron
20,2009,The White Ribbon,https://www.theguardian.com/film/2009/nov/12/the-white-ribbon-review
21,2001,Spirited Away,https://www.theguardian.com/film/2003/sep/12/spirited-away-review
22,2006,Borat: Cultural Learnings of America for Make Benefit Glorious Nation of Kazakhstan,https://www.theguardian.com/film/2006/oct/27/comedy.sachabaroncohen
23,2013,Ida,https://www.theguardian.com/film/2014/sep/25/ida-pawel-pawlikowski-nun-road-movie
24,2017,Get Out,https://www.theguardian.com/film/2017/mar/17/get-out-review-fantastically-twisted-horror-satire-on-race-in-america
25,2000,A One and a Two (Yi Yi,https://www.theguardian.com/film/2001/apr/06/1
26,2014,The Grand Budapest Hotel,https://www.theguardian.com/film/2014/mar/06/the-grand-budapest-hotel-wes-anderson-review
27,2011,The Tree of Life,https://www.theguardian.com/film/2011/jul/07/the-tree-of-life-review
28,2013,Nebraska,https://www.theguardian.com/film/2013/dec/05/nebraska-review
29,2014,Leviathan,https://www.theguardian.com/film/2014/nov/06/leviathan-review-story-of-job
30,2015,Anomalisa,https://www.theguardian.com/film/2015/sep/05/anomalisa-review-sex-and-depression-in-charlie-kaufmans-superb-stop-motion-breakdown
31,2013,Gravity,https://www.theguardian.com/film/2013/nov/07/gravity-review
32,2001,The Royal Tenenbaums,https://www.theguardian.com/film/2002/mar/15/1
33,2002,The Child (L’Enfant,https://www.theguardian.com/culture/2006/mar/10/1
34,2015,45 Years,https://www.theguardian.com/film/2015/aug/27/45-years-review-tom-courtenay-and-charlotte-rampling-superb-as-couple-freshly-possessed-by-the-past
35,2011,A Separation,https://www.theguardian.com/film/2011/jun/30/a-separation-review
36,2003,Dogville,https://www.theguardian.com/film/2003/may/20/artsfeatures.londonfilmfestival2003
37,2011,Once Upon a Time in Anatolia,https://www.theguardian.com/film/2012/mar/15/once-upon-a-time-in-anatolia
38,2010,Meek’s Cutoff,https://www.theguardian.com/film/2011/apr/17/meeks-cutoff-review
39,2007,Unrelated,https://www.theguardian.com/film/2008/sep/19/drama1
40,2016,The Handmaiden,https://www.theguardian.com/film/2017/apr/13/the-handmaiden-review-park-chan-wook
41,2007,"4 Months, 3 Weeks and 2 Days",https://www.theguardian.com/film/2008/jan/11/worldcinema.drama
42,2013,The Wolf of Wall Street,https://www.theguardian.com/film/2014/jan/16/wolf-of-wall-street-review
43,2016,Toni Erdmann,https://www.theguardian.com/film/2016/may/13/toni-erdmann-review-long-german-comedy-is-slight-biting-little-miracle
44,h2>,13th (2016),https://www.theguardian.com/film/2016/oct/06/13th-review-ava-duvernay-jailing-black-men-netflix-selma-13th-constitutional-amendment-slavery
45,2006,Volver,https://www.theguardian.com/film/2006/aug/25/drama.pedroalmodovar
46,2011,Margaret,https://www.theguardian.com/film/2011/dec/01/margaret-film-review
47,2000,The House of Mirth,https://www.theguardian.com/film/2000/oct/13/1
48,2002,24 Hour Party People,https://www.theguardian.com/film/2002/apr/05/culture.peterbradshaw
49,2004,Before Sunset,"https://www.theguardian.com/film/News_Story/Critic_Review/Guardian_Film_of_the_week/0,,1267099,00.html"
50,2000,"Crouching Tiger, Hidden Dragon",https://www.theguardian.com/film/2000/nov/06/artsfeatures
51,2000,Amores Perros,https://www.theguardian.com/culture/2000/may/17/artsfeatures.cannesfilmfestival1
52,2016,Fire at Sea,https://www.theguardian.com/film/2016/jun/09/fire-at-sea-review-masterly-and-moving-look-at-the-migrant-crisis
53,2010,The Social Network,https://www.theguardian.com/film/2010/oct/14/the-social-network-review
54,2002,Russian Ark,https://www.theguardian.com/culture/2003/apr/04/artsfeatures9
55,2013,Behind the Candelabra,https://www.theguardian.com/film/2013/jun/06/behind-the-candelabra-review
56,2018,Leave No Trace,https://www.theguardian.com/film/2018/may/13/leave-no-trace-review-debra-granik]/
57,2011,Wuthering Heights,https://www.theguardian.com/film/2011/nov/10/wuthering-heights-film-review
58,2012,Gangs of Wasseypur,https://www.theguardian.com/film/2013/feb/21/gangs-of-wasseypur-review
59,2012,Ted,https://www.theguardian.com/film/2012/aug/02/ted-review
60,2019,The Souvenir,https://www.theguardian.com/film/2019/aug/29/the-souvenir-review-joanna-hogg
61,2002,Waiting for Happiness,"https://www.theguardian.com/film/News_Story/Critic_Review/Observer_review/0,,1071171,00.html"
62,2011,We Need to Talk about Kevin,https://www.theguardian.com/film/2011/oct/20/we-need-to-talk-about-kevin-review
63,2004,The Incredibles,https://www.theguardian.com/film/2004/nov/19/the-incredibles-film-review
64,2018,Happy as Lazzaro,https://www.theguardian.com/film/2019/apr/03/happy-as-lazzaro-review-alice-rohrwacher-adriano-tardiolo-nicoletta-braschi
65,005),Brokeback Mountain ,https://www.theguardian.com/film/2006/jan/06/3
66,2009,Dogtooth,https://www.theguardian.com/film/2010/apr/22/dogtooth-review
67,2014,Mr Turner,https://www.theguardian.com/film/2014/oct/30/mr-turner-review-mike-leigh-timothy-spall
